Modo/Sentimiento/Cantidad de Acordes/Grados/Experto
Jonico/Felicidad/3/['V', 'IV', 'I']/Gabis
Jonico/Felicidad/3/['IV', 'V', 'I']/Gabis
Jonico/Felicidad/3/['iii', 'V', 'I']/Gabis
Mixolidio/Angustia/2/['i', 'ii°']/Gabis
Jonico/Felicidad/2/['V', 'I']/Gabis
Jonico/Felicidad/2/['vii°', 'I']/Gabis
Jonico/Felicidad/3/['I', 'ii', 'V']/Gabis
Mixolidio/Tristeza/2/['i', 'v']/Gabis
Jonico/Tristeza/4/['ii', 'V', 'IV', 'iv']/Gabis
Mixolidio/Tristeza/3/['i', 'VII', 'VI']/Gabis
Mixolidio/Tristeza/4/['i', 'VII', 'VI', 'VII']/Gabis
Mixolidio/Tristeza/2/['i', 'VII']/Gabis
